policy,seed,t,selected_bus,observation,true_risk,risk_hat,risk_upper,risk_ratio,ell_relative_error,covered,case_name
risk_trace,1,5,8,0.7760770539492978,4.741854642593216,4.483555284130853,5.6774887433894055,1.1973139565249329,0.02787785583999704,true,pglib_opf_case57_ieee
risk_trace,1,6,9,0.36184501419082754,4.741854642593216,4.589252460278341,5.682297410043969,1.1983280463731054,0.01619286929603647,true,pglib_opf_case57_ieee
risk_trace,1,7,9,0.35760077223329106,4.741854642593216,4.643413630939956,5.6677294560708935,1.1952558404386975,0.010917599442087462,true,pglib_opf_case57_ieee
risk_trace,1,8,8,0.8190779358125875,4.741854642593216,4.6676125315969745,5.624534970382382,1.1861466439440345,0.008109160457972817,true,pglib_opf_case57_ieee
risk_trace,1,9,9,0.34601604996318097,4.741854642593216,4.6807287004598646,5.581014918403173,1.1769687894420648,0.006985116716150969,true,pglib_opf_case57_ieee
risk_trace,1,10,9,0.32821866701340124,4.741854642593216,4.659494602119783,5.514153109168129,1.1628684396265172,0.008863587959014107,true,pglib_opf_case57_ieee
risk_trace,1,11,8,0.828180788803552,4.741854642593216,4.686380642931368,5.501505537400735,1.1602012191567481,0.005860136376015317,true,pglib_opf_case57_ieee
risk_trace,1,12,9,0.3829844533683727,4.741854642593216,4.753195803574147,5.538903327528627,1.1680879624136944,0.003588699161993461,true,pglib_opf_case57_ieee
risk_trace,1,13,9,0.35127997681243084,4.741854642593216,4.762601323406787,5.519988771805542,1.164099110551137,0.004381688915677535,true,pglib_opf_case57_ieee
risk_trace,1,14,8,0.8744825597930275,4.741854642593216,4.839646474591931,5.57333603343807,1.1753494051412203,0.010226164203610435,true,pglib_opf_case57_ieee
risk_trace,1,15,9,0.3075880902298344,4.741854642593216,4.793907018164087,5.498447093870145,1.1595562302734708,0.005821426192159641,true,pglib_opf_case57_ieee
risk_trace,1,16,9,0.2918650947335997,4.741854642593216,4.73951140623453,5.418556084135555,1.1427081790875533,0.0045029376892400915,true,pglib_opf_case57_ieee
risk_trace,1,17,8,0.8473093203009302,4.741854642593216,4.761205274384704,5.420157863060461,1.1430459749597672,0.005911195091296142,true,pglib_opf_case57_ieee
risk_trace,1,18,9,0.3094530108157155,4.741854642593216,4.7337540464143295,5.37205115022248,1.1329008489565642,0.006870813525878163,true,pglib_opf_case57_ieee
risk_trace,1,19,9,0.3441556460708732,4.741854642593216,4.742607904066757,5.3656605458487805,1.1315531475073684,0.006407815674035058,true,pglib_opf_case57_ieee
